seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
23,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,106,13
12,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,122,16
12,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,99,13
2,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,86,14
13,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,135,16
13,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,55,13
27,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,177,2
18,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,158,8
30,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,70,30
18,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,99,14
10,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,84,15
8,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,25,13
7,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,95,23
15,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,134,10
1,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,67,8
4,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,148,15
12,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,46,36
24,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,89,9
20,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,42,9
12,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,67,7
17,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,113,21
30,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,106,18
9,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,107,12
13,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,86,26
9,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,190,0
15,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,148,10
13,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,39,28
12,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,98,17
29,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,173,6
9,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,136,20
5,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,71,1
21,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,151,7
22,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,75,16
17,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,77,12
21,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,55,8
29,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,147,6
29,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,124,5
13,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,75,47
9,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,122,14
14,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,124,12
14,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,195,1
3,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,26,21
23,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,29,14
20,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,130,14
12,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,138,5
28,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,18,2
12,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,91,25
13,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,134,10
27,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,128,8
13,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,5,12
21,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,135,16
25,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,135,10
29,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,6,5
5,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,46,32
13,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,121,24
21,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,75,19
6,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,85,22
26,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,73,14
12,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,104,15
17,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,74,30
29,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,131,6
25,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,197,3
26,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,127,13
2,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,141,10
17,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,85,36
2,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,140,3
15,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,124,13
3,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,107,22
26,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,5,4
9,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,101,3
30,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,185,0
9,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,56,8
24,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,135,3
3,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,71,11
1,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,70,15
16,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,132,26
21,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,17,3
20,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,184,13
3,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,66,17
3,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,110,33
19,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,139,10
13,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,134,10
2,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,114,15
4,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,115,17
25,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,118,11
22,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,126,16
19,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,184,19
