seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
1,9,32,256,0.7333,0.1,az_good.ckpt,az_good.ckpt,7,5
1,9,32,256,0.6,0.1,az_good.ckpt,az_good.ckpt,13,5
10,9,32,256,0.4333,0.1,az_good.ckpt,az_good.ckpt,209,11
6,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,2,0
5,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,241,2
1,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,247,0
10,9,32,256,0.9,0.1,az_good.ckpt,az_good.ckpt,3,5
4,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,52,14
10,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,232,8
2,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,41,8
2,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,111,14
7,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,15,0
9,9,32,256,0.2666,0.1,az_good.ckpt,az_good.ckpt,238,5
2,9,32,256,0.7,20.0,az_good.ckpt,az_good.ckpt,41,8
3,9,32,256,0.2666,0.1,az_good.ckpt,az_good.ckpt,224,5
9,9,32,256,0.8333,0.1,az_good.ckpt,az_good.ckpt,7,9
3,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,13,10
5,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,8,10
1,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,9,11
6,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,2,0
5,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,10,16
4,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,237,6
6,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,10,1
6,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,93,6
2,9,32,256,0.0333,0.1,az_good.ckpt,az_good.ckpt,231,1
7,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,15,0
6,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,40,8
2,9,32,256,0.2333,1.0,az_good.ckpt,az_good.ckpt,178,21
1,9,32,256,1.0,0.1,az_good.ckpt,az_good.ckpt,13,7
9,9,32,256,0.1666,0.1,az_good.ckpt,az_good.ckpt,245,2
6,9,32,256,1.0,0.1,az_good.ckpt,az_good.ckpt,4,0
6,9,32,256,0.6,0.1,az_good.ckpt,az_good.ckpt,36,0
1,9,32,256,0.1333,0.1,az_good.ckpt,az_good.ckpt,243,2
9,9,32,256,0.2,0.1,az_good.ckpt,az_good.ckpt,234,3
9,9,32,256,0.5666,1.0,az_good.ckpt,az_good.ckpt,15,30
2,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,39,6
1,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,17,11
7,9,32,256,0.3,0.1,az_good.ckpt,az_good.ckpt,190,7
10,9,32,256,0.5,0.1,az_good.ckpt,az_good.ckpt,161,17
8,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,6,8
7,9,32,256,0.6,0.1,az_good.ckpt,az_good.ckpt,14,11
1,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,11,9
6,9,32,256,0.4,0.1,az_good.ckpt,az_good.ckpt,222,4
2,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,164,4
10,9,32,256,0.5333,0.1,az_good.ckpt,az_good.ckpt,25,11
6,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,237,3
6,9,32,256,0.3333,0.1,az_good.ckpt,az_good.ckpt,235,8
3,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,230,4
2,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,236,1
4,9,32,256,0.6,0.1,az_good.ckpt,az_good.ckpt,4,2
5,9,32,256,1.0,0.1,az_good.ckpt,az_good.ckpt,9,22
3,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,20,17
3,9,32,256,0.3,0.1,az_good.ckpt,az_good.ckpt,224,6
6,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,4,0
6,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,2,0
6,9,32,256,0.2,20.0,az_good.ckpt,az_good.ckpt,3,1
7,9,32,256,0.3,20.0,az_good.ckpt,az_good.ckpt,80,11
9,9,32,256,0.4,0.1,az_good.ckpt,az_good.ckpt,190,16
5,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,1,3
5,9,32,256,1.0,0.1,az_good.ckpt,az_good.ckpt,9,22
3,9,32,256,0.9,0.1,az_good.ckpt,az_good.ckpt,24,20
6,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,2,0
8,9,32,256,0.5,0.1,az_good.ckpt,az_good.ckpt,30,9
7,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,4,14
3,9,32,256,1.0,20.0,az_good.ckpt,az_good.ckpt,13,10
4,9,32,256,0.4,20.0,az_good.ckpt,az_good.ckpt,4,3
7,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,245,1
8,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,79,14
5,9,32,256,0.7,0.1,az_good.ckpt,az_good.ckpt,4,5
9,9,32,256,0.7,0.1,az_good.ckpt,az_good.ckpt,62,12
5,9,32,256,0.3,0.1,az_good.ckpt,az_good.ckpt,245,7
9,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,6,7
2,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,41,7
3,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,23,20
8,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,1,9
1,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,9,6
1,9,32,256,0.4,0.1,az_good.ckpt,az_good.ckpt,193,9
8,9,32,256,0.0333,0.1,az_good.ckpt,az_good.ckpt,241,5
6,9,32,256,0.0,1.0,az_good.ckpt,az_good.ckpt,240,0
7,9,32,256,0.6666,0.1,az_good.ckpt,az_good.ckpt,4,7
5,9,32,256,0.1,20.0,az_good.ckpt,az_good.ckpt,9,6
1,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,7,5
3,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,10,6
9,9,32,256,0.2,0.1,az_good.ckpt,az_good.ckpt,234,3
6,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,2,0
4,9,32,256,0.3333,0.1,az_good.ckpt,az_good.ckpt,232,4
10,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,39,17
4,9,32,256,0.8,0.1,az_good.ckpt,az_good.ckpt,2,3
9,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,60,12
10,9,32,256,0.0333,0.1,az_good.ckpt,az_good.ckpt,231,2
5,9,32,256,0.5,0.1,az_good.ckpt,az_good.ckpt,48,12
4,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,1,2
4,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,0,1
1,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,8,5
7,9,32,256,0.1666,1.0,az_good.ckpt,az_good.ckpt,191,7
2,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,32,3
8,9,32,256,0.3333,0.1,az_good.ckpt,az_good.ckpt,188,17
10,9,32,256,0.0666,1.0,az_good.ckpt,az_good.ckpt,224,1
7,9,32,256,0.3,0.1,az_good.ckpt,az_good.ckpt,190,7
10,9,32,256,0.9666,0.1,az_good.ckpt,az_good.ckpt,4,15
4,9,32,256,1.0,20.0,az_good.ckpt,az_good.ckpt,4,64
4,9,32,256,0.2333,0.1,az_good.ckpt,az_good.ckpt,233,2
6,9,32,256,0.3,20.0,az_good.ckpt,az_good.ckpt,4,4
1,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,65,9
10,9,32,256,0.0,20.0,az_good.ckpt,az_good.ckpt,231,2
4,9,32,256,0.2666,0.1,az_good.ckpt,az_good.ckpt,233,7
10,9,32,256,0.8,0.1,az_good.ckpt,az_good.ckpt,4,7
5,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,2,4
4,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,4,3
10,9,32,256,1.0,0.1,az_good.ckpt,az_good.ckpt,7,7
6,9,32,256,0.3,0.1,az_good.ckpt,az_good.ckpt,237,6
1,9,32,256,0.8333,0.1,az_good.ckpt,az_good.ckpt,11,9
9,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,6,7
3,9,32,256,0.6666,0.1,az_good.ckpt,az_good.ckpt,24,12
7,9,32,256,1.0,1.0,az_good.ckpt,az_good.ckpt,15,0
6,9,32,256,0.6,0.1,az_good.ckpt,az_good.ckpt,36,0
6,9,32,256,0.4333,0.1,az_good.ckpt,az_good.ckpt,164,4
5,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,6,1
9,9,32,256,0.5333,0.1,az_good.ckpt,az_good.ckpt,35,30
8,9,32,256,0.6,20.0,az_good.ckpt,az_good.ckpt,3,8
4,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,5,0
2,9,32,256,0.1,0.1,az_good.ckpt,az_good.ckpt,232,0
4,9,32,256,0.5333,0.1,az_good.ckpt,az_good.ckpt,36,4
