seed,sampling_method,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
24,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,33,27
10,dirichlet-sample,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,38,29
3,dirichlet-sample,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,22,39
19,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,27,35
12,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,30,42
9,dirichlet-sample,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,31,16
13,dirichlet-sample,9,32,256,0.6666,1.0,az_good.ckpt,az_good.ckpt,18,40
14,dirichlet-sample,9,32,256,0.3333,1.0,az_good.ckpt,az_good.ckpt,37,38
28,dirichlet-sample,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,42,39
15,dirichlet-sample,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,39,19
2,dirichlet-sample,9,32,256,0.8333,1.0,az_good.ckpt,az_good.ckpt,34,25
5,dirichlet-sample,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,27,33
2,dirichlet-sample,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,34,25
30,dirichlet-sample,9,32,256,0.4333,1.0,az_good.ckpt,az_good.ckpt,47,36
10,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,38,29
23,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,29,36
2,dirichlet-sample,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,35,28
7,dirichlet-sample,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,31,49
24,dirichlet-sample,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,36,26
29,dirichlet-sample,9,32,256,0.9666,1.0,az_good.ckpt,az_good.ckpt,45,30
15,dirichlet-sample,9,32,256,0.1333,1.0,az_good.ckpt,az_good.ckpt,40,18
6,dirichlet-sample,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,33,42
24,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,34,27
24,dirichlet-sample,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,36,26
8,dirichlet-sample,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,28,19
1,dirichlet-sample,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,43,30
25,dirichlet-sample,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,34,33
10,dirichlet-sample,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,38,29
25,dirichlet-sample,9,32,256,0.8666,1.0,az_good.ckpt,az_good.ckpt,28,34
25,dirichlet-sample,9,32,256,0.6333,1.0,az_good.ckpt,az_good.ckpt,28,31
18,dirichlet-sample,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,21,39
7,dirichlet-sample,9,32,256,0.7666,1.0,az_good.ckpt,az_good.ckpt,28,50
7,dirichlet-sample,9,32,256,0.9333,1.0,az_good.ckpt,az_good.ckpt,41,47
25,dirichlet-sample,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,27,33
18,dirichlet-sample,9,32,256,0.7333,1.0,az_good.ckpt,az_good.ckpt,18,35
24,dirichlet-sample,9,32,256,0.4666,1.0,az_good.ckpt,az_good.ckpt,33,27
5,dirichlet-sample,9,32,256,0.0333,1.0,az_good.ckpt,az_good.ckpt,35,22
6,dirichlet-sample,9,32,256,0.3666,1.0,az_good.ckpt,az_good.ckpt,31,38
18,dirichlet-sample,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,18,35
3,dirichlet-sample,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,22,33
4,dirichlet-sample,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,42,43
19,dirichlet-sample,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,27,35
11,dirichlet-sample,9,32,256,0.5333,1.0,az_good.ckpt,az_good.ckpt,35,43
17,dirichlet-sample,9,32,256,0.2666,1.0,az_good.ckpt,az_good.ckpt,23,33
