seed,board_size,k,num_steps,skill_level,dirichlet_alpha,model_A,model_B,return_A,return_B
18,9,32,256,2.4,1.0,az_good.ckpt,az_good.ckpt,9,2
4,9,32,256,2.2,1.0,az_good.ckpt,az_good.ckpt,4,8
21,9,32,256,2.9,1.0,az_good.ckpt,az_good.ckpt,31,5
4,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,190,18
17,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,207,9
5,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,182,8
14,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,179,6
4,9,32,256,2.5,1.0,az_good.ckpt,az_good.ckpt,12,10
30,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,165,17
31,9,32,256,1.8,1.0,az_good.ckpt,az_good.ckpt,4,2
18,9,32,256,1.9,1.0,az_good.ckpt,az_good.ckpt,15,12
26,9,32,256,2.6,1.0,az_good.ckpt,az_good.ckpt,25,16
12,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,202,11
10,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,211,3
1,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,127,15
24,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,122,18
17,9,32,256,2.2,1.0,az_good.ckpt,az_good.ckpt,80,8
31,9,32,256,2.9,1.0,az_good.ckpt,az_good.ckpt,2,2
19,9,32,256,2.9,1.0,az_good.ckpt,az_good.ckpt,111,24
3,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,128,25
26,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,205,4
15,9,32,256,1.7,1.0,az_good.ckpt,az_good.ckpt,35,7
29,9,32,256,2.7,1.0,az_good.ckpt,az_good.ckpt,9,0
30,9,32,256,2.1,1.0,az_good.ckpt,az_good.ckpt,20,7
22,9,32,256,1.2,1.0,az_good.ckpt,az_good.ckpt,60,5
7,9,32,256,1.3,1.0,az_good.ckpt,az_good.ckpt,114,9
26,9,32,256,2.5,1.0,az_good.ckpt,az_good.ckpt,18,39
15,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,13,1
13,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,166,18
30,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,149,16
9,9,32,256,3.0,1.0,az_good.ckpt,az_good.ckpt,35,2
24,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,194,4
9,9,32,256,2.1,1.0,az_good.ckpt,az_good.ckpt,61,21
5,9,32,256,3.0,1.0,az_good.ckpt,az_good.ckpt,2,7
15,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,188,17
19,9,32,256,1.8,1.0,az_good.ckpt,az_good.ckpt,124,14
23,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,79,10
10,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,194,12
22,9,32,256,2.4,1.0,az_good.ckpt,az_good.ckpt,82,6
16,9,32,256,0.2,1.0,az_good.ckpt,az_good.ckpt,202,7
14,9,32,256,0.6,1.0,az_good.ckpt,az_good.ckpt,153,12
22,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,65,7
14,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,14,3
2,9,32,256,2.9,1.0,az_good.ckpt,az_good.ckpt,66,16
2,9,32,256,2.2,1.0,az_good.ckpt,az_good.ckpt,100,28
19,9,32,256,0.4,1.0,az_good.ckpt,az_good.ckpt,175,8
13,9,32,256,2.3,1.0,az_good.ckpt,az_good.ckpt,12,12
2,9,32,256,2.8,1.0,az_good.ckpt,az_good.ckpt,58,11
16,9,32,256,1.3,1.0,az_good.ckpt,az_good.ckpt,175,25
27,9,32,256,1.6,1.0,az_good.ckpt,az_good.ckpt,96,7
27,9,32,256,2.7,1.0,az_good.ckpt,az_good.ckpt,82,11
4,9,32,256,1.7,1.0,az_good.ckpt,az_good.ckpt,107,14
12,9,32,256,0.9,1.0,az_good.ckpt,az_good.ckpt,135,15
16,9,32,256,2.4,1.0,az_good.ckpt,az_good.ckpt,11,9
13,9,32,256,1.1,1.0,az_good.ckpt,az_good.ckpt,29,10
10,9,32,256,2.7,1.0,az_good.ckpt,az_good.ckpt,19,12
19,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,159,9
2,9,32,256,0.5,1.0,az_good.ckpt,az_good.ckpt,171,6
5,9,32,256,1.4,1.0,az_good.ckpt,az_good.ckpt,112,24
10,9,32,256,1.8,1.0,az_good.ckpt,az_good.ckpt,13,1
10,9,32,256,0.8,1.0,az_good.ckpt,az_good.ckpt,149,12
7,9,32,256,2.9,1.0,az_good.ckpt,az_good.ckpt,10,7
21,9,32,256,0.7,1.0,az_good.ckpt,az_good.ckpt,108,6
8,9,32,256,0.1,1.0,az_good.ckpt,az_good.ckpt,204,3
3,9,32,256,2.2,1.0,az_good.ckpt,az_good.ckpt,19,25
22,9,32,256,0.3,1.0,az_good.ckpt,az_good.ckpt,203,8
24,9,32,256,2.0,1.0,az_good.ckpt,az_good.ckpt,81,21
